Material,Steel
Geometry,Rectangular
Width,"0.12700",mm
Thickness,"12.75080",mm
Length,"50.80000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00017","-1.66965"
"0.10000","0.00051","-1.54474"
"0.20000","0.00316","-1.43222"
"0.30000","0.00538","-1.23278"
"0.40000","0.00709","-1.05845"
"0.50000","0.00862","-1.04538"
"0.60000","0.01007","-1.01389"
"0.70000","0.01187","-0.95221"
"0.80000","0.01383","-0.88412"
"0.90000","0.01562","-0.87052"
"1.00000","0.01725","-0.85435"
"1.10000","0.01878","-0.84616"
"1.20000","0.02041","-0.73420"
"1.30000","0.02220","-0.76781"
"1.40000","0.02391","-0.74589"
"1.50000","0.02544","-0.67109"
"1.60000","0.02715","-0.63484"
"1.70000","0.02903","-0.59451"
"1.80000","0.03082","-0.49954"
"1.90000","0.03244","-0.48243"
"2.00000","0.03407","-0.38900"
"2.10000","0.03569","-0.32159"
"2.20000","0.03757","-0.21084"
"2.30000","0.03936","-0.63168"
"2.40000","0.04081","-0.50966"
"2.50000","0.04226","-0.35504"
"2.60000","0.04397","-0.08443"
"2.70000","0.04602","0.27080"
"2.80000","0.04781","0.51956"
"2.90000","0.04943","0.77609"
"3.00000","0.05097","0.89566"
"3.10000","0.05259","1.10293"
"3.20000","0.05430","1.24287"
"3.30000","0.05601","1.41207"
"3.40000","0.05763","1.74577"
"3.50000","0.05934","2.06784"
"3.60000","0.06113","2.50450"
"3.70000","0.06301","2.89009"
"3.80000","0.06463","3.28940"
"3.90000","0.06625","3.86220"
"4.00000","0.06779","4.47699"
"4.10000","0.06958","5.17602"
"4.20000","0.07146","5.95768"
"4.30000","0.07308","6.58345"
"4.40000","0.07454","7.33832"
"4.50000","0.07616","8.20697"
"4.60000","0.07812","9.80957"
"4.70000","0.08000","11.70641"
"4.80000","0.08162","13.69385"
"4.90000","0.08324","15.77748"
"5.00000","0.08478","18.54710"
"5.10000","0.08649","21.44378"
"5.20000","0.08820","25.00553"
"5.30000","0.08982","28.41460"
"5.40000","0.09144","31.87928"
"5.50000","0.09323","35.91167"
"5.60000","0.09511","40.55892"
"5.70000","0.09682","44.92494"
"5.80000","0.09844","49.00352"
"5.90000","0.09998","52.95594"
"6.00000","0.10177","57.73512"
"6.10000","0.10374","62.87479"
"6.20000","0.10527","67.38223"
"6.30000","0.10672","71.37012"
"6.40000","0.10826","75.03279"
"6.50000","0.11014","79.98380"
"6.60000","0.11219","85.29356"
"6.70000","0.11381","89.93456"
"6.80000","0.11535","94.03131"
"6.90000","0.11697","98.28972"
"7.00000","0.11868","102.74369"
"7.10000","0.12047","107.63797"
"7.20000","0.12209","112.14506"
"7.30000","0.12371","116.43900"
"7.40000","0.12542","121.00000"
"7.50000","0.12722","125.97012"
"7.60000","0.12901","130.78809"
"7.70000","0.13063","135.24071"
"7.80000","0.13217","139.34175"
"7.90000","0.13396","143.96982"
"8.00000","0.13592","149.29791"
"8.10000","0.13746","153.89186"
"8.20000","0.13900","158.07455"
"8.30000","0.14045","162.03922"
"8.40000","0.14233","166.75423"
"8.50000","0.14429","172.37335"
"8.60000","0.14608","177.26163"
"8.70000","0.14754","181.43336"
"8.80000","0.14924","185.96217"
"8.90000","0.15087","190.35147"
"9.00000","0.15257","195.19218"
"9.10000","0.15428","199.94299"
"9.20000","0.15582","204.15575"
"9.30000","0.15753","208.60983"
"9.40000","0.15940","213.69186"
"9.50000","0.16120","218.71117"
"9.60000","0.16282","223.10181"
"9.70000","0.16436","227.42441"
"9.80000","0.16606","231.88701"
"9.90000","0.16794","236.92351"
"10.00000","0.16973","242.05569"
"10.10000","0.17119","246.10843"
"10.20000","0.17264","250.02507"
"10.30000","0.17434","254.43491"
"10.40000","0.17639","259.91931"
"10.50000","0.17827","265.39551"
"10.60000","0.17981","269.81592"
"10.70000","0.18135","274.40253"
"10.80000","0.18297","279.27679"
"10.90000","0.18476","284.52048"
"11.00000","0.18647","289.91055"
"11.10000","0.18801","294.87201"
"11.20000","0.18963","299.77209"
"11.30000","0.19151","305.30408"
"11.40000","0.19338","311.04422"
"11.50000","0.19501","316.37360"
"11.60000","0.19654","321.25943"
"11.70000","0.19817","326.20557"
"11.80000","0.20013","331.68246"
"11.90000","0.20192","337.52335"
"12.00000","0.20337","342.25293"
"12.10000","0.20483","346.71402"
"12.20000","0.20653","351.52533"
"12.30000","0.20858","357.61505"
"12.40000","0.21037","363.68170"
"12.50000","0.21200","368.66647"
"12.60000","0.21362","373.50711"
"12.70000","0.21516","378.34622"
"12.80000","0.21695","383.54471"
"12.90000","0.21874","389.09036"
"13.00000","0.22028","393.96066"
"13.10000","0.22182","398.59286"
"13.20000","0.22369","404.03418"
"13.30000","0.22549","409.76810"
"13.40000","0.22719","415.11246"
"13.50000","0.22882","419.88300"
"13.60000","0.23044","424.69492"
"13.70000","0.23223","430.05051"
"13.80000","0.23411","435.87125"
"13.90000","0.23565","440.59821"
"14.00000","0.23710","444.96924"
"14.10000","0.23864","449.59836"
"14.20000","0.24060","455.19867"
"14.30000","0.24256","461.34372"
"14.40000","0.24419","466.34406"
"14.50000","0.24581","470.88251"
"14.60000","0.24734","475.68454"
"14.70000","0.24905","480.66086"
"14.80000","0.25084","486.03247"
"14.90000","0.25247","490.97748"
"15.00000","0.25400","495.43140"
"15.10000","0.25580","500.58569"
"15.20000","0.25768","506.14792"
"15.30000","0.25938","511.52048"
"15.40000","0.26101","516.15186"
"15.50000","0.26263","520.87201"
"15.60000","0.26433","525.91217"
"15.70000","0.26621","531.42792"
"15.80000","0.26784","536.47748"
"15.90000","0.26929","540.86481"
"16.00000","0.27082","545.16370"
"16.10000","0.27279","550.49463"
"16.20000","0.27475","556.80823"
"16.30000","0.27637","561.77313"
"16.40000","0.27791","566.19330"
"16.50000","0.27953","570.65735"
"16.60000","0.28124","575.66553"
"16.70000","0.28303","580.81543"
"16.80000","0.28466","585.95569"
"16.90000","0.28619","590.27063"
"17.00000","0.28798","595.29169"
"17.10000","0.28986","600.73914"
"17.20000","0.29157","606.01392"
"17.30000","0.29319","610.70099"
"17.40000","0.29482","615.38342"
"17.50000","0.29652","620.22864"
"17.60000","0.29832","625.42731"
"17.70000","0.30002","630.50085"
"17.80000","0.30147","634.74341"
"17.90000","0.30301","638.93390"
"18.00000","0.30480","643.89594"
"18.10000","0.30685","649.86414"
"18.20000","0.30856","655.14221"
"18.30000","0.31010","659.32336"
"18.40000","0.31172","663.87604"
"18.50000","0.31334","668.52881"
"18.60000","0.31514","673.55133"
"18.70000","0.31684","678.46136"
"18.80000","0.31838","682.84137"
"18.90000","0.32009","687.53607"
"19.00000","0.32197","692.87775"
"19.10000","0.32376","698.05591"
"19.20000","0.32538","702.84357"
"19.30000","0.32692","707.11536"
"19.40000","0.32863","711.74597"
"19.50000","0.33050","716.98846"
"19.60000","0.33221","722.25946"
"19.70000","0.33375","726.51221"
"19.80000","0.33520","730.55511"
"19.90000","0.33691","734.97253"
"20.00000","0.33896","741.00055"
"20.10000","0.34083","746.39606"
"20.20000","0.34237","750.62384"
"20.30000","0.34391","755.03833"
"20.40000","0.34553","759.42883"
"20.50000","0.34732","764.46399"
"20.60000","0.34903","769.41339"
"20.70000","0.35057","773.87372"
"20.80000","0.35219","778.34875"
"20.90000","0.35415","783.53076"
"21.00000","0.35595","788.94385"
"21.10000","0.35757","793.34821"
"21.20000","0.35919","797.70728"
"21.30000","0.36081","802.36890"
"21.40000","0.36269","807.35919"
"21.50000","0.36440","812.44116"
"21.60000","0.36594","816.82629"
"21.70000","0.36747","820.71954"
"21.80000","0.36910","825.08386"
"21.90000","0.37106","830.79083"
"22.00000","0.37302","836.26300"
"22.10000","0.37456","840.62549"
"22.20000","0.37610","844.70251"
"22.30000","0.37772","849.17065"
"22.40000","0.37951","853.92291"
"22.50000","0.38122","858.84973"
"22.60000","0.38284","863.39197"
"22.70000","0.38446","867.58356"
"22.80000","0.38626","872.42352"
"22.90000","0.38814","877.72375"
"23.00000","0.38976","882.45215"
"23.10000","0.39138","886.69769"
"23.20000","0.39300","890.95599"
"23.30000","0.39479","895.92664"
"23.40000","0.39659","900.91010"
"23.50000","0.39821","905.26117"
"23.60000","0.39966","909.45093"
"23.70000","0.40120","913.48712"
"23.80000","0.40316","918.56824"
"23.90000","0.40513","924.30585"
"24.00000","0.40675","928.76709"
"24.10000","0.40828","932.92944"
"24.20000","0.40991","937.10797"
"24.30000","0.41161","941.75128"
"24.40000","0.41341","946.68195"
"24.50000","0.41503","951.14911"
"24.60000","0.41657","954.86224"
"24.70000","0.41844","959.90710"
"24.80000","0.42032","965.05731"
"24.90000","0.42195","969.84741"
"25.00000","0.42357","973.97900"
"25.10000","0.42519","978.11835"
"25.20000","0.42698","982.86926"
"25.30000","0.42878","987.98224"
"25.40000","0.43040","992.08954"
"25.50000","0.43185","996.13989"
"25.60000","0.43339","999.92303"
"25.70000","0.43526","1,004.85028"
"25.80000","0.43731","1,010.40149"
"25.90000","0.43894","1,015.25775"
"26.00000","0.44056","1,019.19995"
"26.10000","0.44209","1,023.25311"
"26.20000","0.44380","1,027.58972"
"26.30000","0.44560","1,032.41956"
"26.40000","0.44730","1,036.95483"
"26.50000","0.44875","1,040.73291"
"26.60000","0.45055","1,045.34631"
"26.70000","0.45243","1,050.49023"
"26.80000","0.45413","1,055.37341"
"26.90000","0.45576","1,059.30859"
"27.00000","0.45729","1,063.49438"
"27.10000","0.45909","1,068.03442"
"27.20000","0.46096","1,073.05554"
"27.30000","0.46259","1,077.58423"
"27.40000","0.46412","1,081.50061"
"27.50000","0.46557","1,085.20593"
"27.60000","0.46737","1,089.80017"
"27.70000","0.46942","1,095.28735"
"27.80000","0.47112","1,099.98364"
"27.90000","0.47275","1,103.97717"
"28.00000","0.47428","1,108.18323"
"28.10000","0.47599","1,112.39734"
"28.20000","0.47778","1,117.10583"
"28.30000","0.47949","1,121.65125"
"28.40000","0.48094","1,125.69299"
"28.50000","0.48265","1,129.88806"
"28.60000","0.48461","1,134.87195"
"28.70000","0.48632","1,139.76831"
"28.80000","0.48794","1,143.85474"
"28.90000","0.48957","1,148.03040"
"29.00000","0.49119","1,152.16699"
"29.10000","0.49307","1,156.99060"
"29.20000","0.49477","1,161.70361"
"29.30000","0.49631","1,165.43701"
"29.40000","0.49776","1,169.09119"
"29.50000","0.49947","1,173.51929"
"29.60000","0.50143","1,178.58496"
"29.70000","0.50340","1,183.83398"
"29.80000","0.50493","1,187.79053"
"29.90000","0.50647","1,191.55042"
"30.00000","0.50809","1,195.56970"
"30.10000","0.50989","1,200.21838"
"30.20000","0.51159","1,204.84607"
"30.30000","0.51322","1,208.92017"
"30.40000","0.51475","1,212.68860"
"30.50000","0.51663","1,217.70911"
"30.60000","0.51851","1,222.52783"
"30.70000","0.52013","1,226.72925"
"30.80000","0.52175","1,230.62170"
"30.90000","0.52338","1,234.73303"
"31.00000","0.52525","1,239.44763"
"31.10000","0.52696","1,243.96753"
"31.20000","0.52850","1,248.06567"
"31.30000","0.53004","1,251.63818"
"31.40000","0.53166","1,255.77832"
"31.50000","0.53362","1,260.73914"
"31.60000","0.53559","1,266.01147"
"31.70000","0.53712","1,269.95789"
"31.80000","0.53866","1,273.70264"
"31.90000","0.54028","1,277.77783"
"32.00000","0.54199","1,282.09973"
"32.10000","0.54378","1,286.68799"
"32.20000","0.54532","1,290.68604"
"32.30000","0.54694","1,294.56873"
"32.40000","0.54882","1,299.19946"
"32.50000","0.55070","1,303.97375"
"32.60000","0.55232","1,308.41907"
"32.70000","0.55394","1,312.22412"
"32.80000","0.55556","1,316.09338"
"32.90000","0.55736","1,320.44910"
"33.00000","0.55915","1,325.33716"
"33.10000","0.56069","1,329.11902"
"33.20000","0.56222","1,332.73596"
"33.30000","0.56376","1,336.51819"
"33.40000","0.56564","1,341.06995"
"33.50000","0.56769","1,346.55640"
"33.60000","0.56931","1,350.59485"
"33.70000","0.57085","1,354.30774"
"33.80000","0.57247","1,358.18347"
"33.90000","0.57418","1,362.37805"
"34.00000","0.57597","1,366.83154"
"34.10000","0.57759","1,371.01501"
"34.20000","0.57913","1,374.60132"
"34.30000","0.58092","1,378.78931"
"34.40000","0.58280","1,383.66919"
"34.50000","0.58451","1,388.25818"
"34.60000","0.58613","1,392.02832"
"34.70000","0.58775","1,395.78613"
"34.80000","0.58946","1,399.99634"
"34.90000","0.59134","1,404.78101"
"35.00000","0.59296","1,408.99719"
"35.10000","0.59450","1,412.37317"
"35.20000","0.59595","1,416.02771"
"35.30000","0.59783","1,420.39929"
"35.40000","0.59979","1,425.53357"
"35.50000","0.60150","1,429.80835"
"35.60000","0.60304","1,433.53870"
"35.70000","0.60466","1,437.37744"
"35.80000","0.60636","1,441.29712"
"35.90000","0.60816","1,445.76672"
"36.00000","0.60978","1,449.85962"
"36.10000","0.61132","1,453.32788"
"36.20000","0.61311","1,457.50049"
"36.30000","0.61499","1,462.19897"
"36.40000","0.61670","1,466.63989"
"36.50000","0.61832","1,470.46924"
"36.60000","0.61977","1,473.91516"
"36.70000","0.62156","1,478.13843"
"36.80000","0.62353","1,482.92334"
"36.90000","0.62523","1,487.10156"
"37.00000","0.62669","1,490.42322"
"37.10000","0.62814","1,493.86536"
"37.20000","0.62993","1,497.85901"
"37.30000","0.63198","1,502.93274"
"37.40000","0.63377","1,507.61047"
"37.50000","0.63531","1,511.09961"
"37.60000","0.63693","1,514.89233"
"37.70000","0.63855","1,518.59851"
"37.80000","0.64026","1,522.80261"
"37.90000","0.64197","1,527.11121"
"38.00000","0.64351","1,530.59216"
"38.10000","0.64521","1,534.35632"
"38.20000","0.64709","1,539.07703"
"38.30000","0.64897","1,543.60547"
"38.40000","0.65051","1,547.41187"
"38.50000","0.65213","1,550.97083"
"38.60000","0.65375","1,554.79773"
"38.70000","0.65563","1,559.27686"
"38.80000","0.65742","1,563.69189"
"38.90000","0.65887","1,567.08423"
"39.00000","0.66041","1,570.47644"
"39.10000","0.66203","1,574.35681"
"39.20000","0.66400","1,578.98425"
"39.30000","0.66596","1,583.88257"
"39.40000","0.66750","1,587.51990"
"39.50000","0.66912","1,591.03369"
"39.60000","0.67066","1,594.68140"
"39.70000","0.67245","1,598.73340"
"39.80000","0.67416","1,602.80884"
"39.90000","0.67569","1,606.39246"
"40.00000","0.67732","1,610.03577"
"40.10000","0.67919","1,614.36902"
"40.20000","0.68107","1,618.90942"
"40.30000","0.68269","1,622.93506"
"40.40000","0.68432","1,626.49988"
"40.50000","0.68594","1,630.16675"
"40.60000","0.68765","1,634.19617"
"40.70000","0.68952","1,638.69592"
"40.80000","0.69115","1,642.33020"
"40.90000","0.69251","1,645.49622"
"41.00000","0.69413","1,648.98267"
"41.10000","0.69618","1,653.71777"
"41.20000","0.69815","1,658.64465"
"41.30000","0.69968","1,662.37671"
"41.40000","0.70122","1,665.82385"
"41.50000","0.70284","1,669.16296"
"41.60000","0.70455","1,672.98132"
"41.70000","0.70634","1,677.09961"
"41.80000","0.70788","1,680.90808"
"41.90000","0.70950","1,684.57458"
"42.00000","0.71138","1,688.54102"
"42.10000","0.71326","1,693.10291"
"42.20000","0.71488","1,697.03003"
"42.30000","0.71650","1,700.48755"
"42.40000","0.71804","1,703.97070"
"42.50000","0.71983","1,708.00806"
"42.60000","0.72180","1,712.62085"
"42.70000","0.72333","1,716.29846"
"42.80000","0.72479","1,719.41394"
"42.90000","0.72632","1,722.66785"
"43.00000","0.72829","1,726.94580"
"43.10000","0.73034","1,731.98926"
"43.20000","0.73196","1,735.72034"
"43.30000","0.73349","1,739.00159"
"43.40000","0.73503","1,742.49133"
"43.50000","0.73674","1,746.14917"
"43.60000","0.73845","1,750.06482"
"43.70000","0.74007","1,753.74414"
"43.80000","0.74178","1,757.49585"
"43.90000","0.74348","1,760.58191"
"44.00000","0.74536","1,763.72412"
